sampno,hh_total_vmt,hh_total_gallons,hh_state_fuel_tax_paid,hh_income_cat,hh_urbrur,hh_city,hh_num_vehicles,hh_avg_mpg,hh_income_group,hh_cpm
30001286,83.106,2.4956756756756757,1.5273535135135134,11,1,SAN FRANCISCO,1,33.3,high,0.12012012012012017
30001757,30.354,1.1037818181818182,0.6755144727272727,8,1,SAN FRANCISCO,2,27.5,mid_high,0.14545454545454545
30002316,26.038,0.84814332247557,0.5190637133550489,8,1,SAN FRANCISCO,1,30.7,mid_high,0.13029315960912052
30002949,828.9,28.391842751842752,17.375807764127764,8,1,ALAMEDA,3,29.433333333333334,mid_high,0.137009737009737
30003650,53.528,1.9464727272727274,1.191241309090909,7,1,OAKLAND,1,27.5,mid_low,0.14545454545454545
30003703,163.85,5.958181818181818,3.6464072727272727,10,1,SAN FRANCISCO,1,27.5,high,0.14545454545454548
30004504,1227.324,38.234392523364484,23.399448224299064,11,1,SAN FRANCISCO,1,32.1,high,0.12461059190031151
30004597,232.05599999999998,7.7035243243243245,4.714556886486487,10,1,SAN FRANCISCO,2,30.399999999999995,high,0.1327873327873328
30005074,110.03999999999999,4.001454545454545,2.448890181818182,8,1,SAN FRANCISCO,2,27.5,mid_high,0.1454545454545455
30006271,692.096,22.839601616004494,13.97783618899475,8,1,SAN FRANCISCO,2,30.549999999999997,mid_high,0.13200250610322553
30006850,330.624,12.02269090909091,7.357886836363636,10,1,OAKLAND,2,27.5,high,0.14545454545454545
30006987,22.6,0.8218181818181818,0.5029527272727272,4,1,SAN FRANCISCO,1,27.5,low,0.14545454545454545
30007141,104.682,3.3338216560509557,2.0402988535031845,11,1,SAN FRANCISCO,1,31.4,high,0.12738853503184713
30007800,227.43,8.270181818181818,5.061351272727273,10,1,SAN FRANCISCO,1,27.5,high,0.14545454545454545
30009516,6695.5199999999995,242.59765075212556,148.46976226030085,10,1,SAN FRANCISCO,3,27.6,high,0.1449313276651406
30010796,425.26,15.464,9.463968000000001,6,1,SAN FRANCISCO,1,27.5,mid_low,0.14545454545454542
30011093,509.32,18.520727272727274,11.33468509090909,9,1,SAN FRANCISCO,1,27.5,mid_high,0.14545454545454548
30011538,300.84200000000004,10.93970909090909,6.695101963636364,11,2,SAN FRANCISCO,1,27.5,high,0.14545454545454542
30011666,130.392,4.741527272727272,2.9018146909090907,6,1,DALY CITY,1,27.5,mid_low,0.14545454545454548
30017625,69.372,2.209299363057325,1.352091210191083,7,1,SAN FRANCISCO,1,31.399999999999995,mid_low,0.12738853503184713
30025699,34.185,1.2430909090909092,0.7607716363636364,4,1,SAN FRANCISCO,1,27.5,low,0.14545454545454545
30026807,81.84,2.6063694267515922,1.5950980891719744,7,1,DALY CITY,1,31.399999999999995,mid_low,0.12738853503184713
30027544,417.966,15.198763636363637,9.301643345454545,11,1,OAKLAND,2,27.5,high,0.14545454545454545
30027938,711.74,26.85811320754717,16.437165283018867,1,1,SAN FRANCISCO,1,26.5,low,0.15094339622641512
30029983,4269.1050000000005,164.3984625898893,100.61185910501226,11,1,ALAMEDA,3,28.266666666666666,high,0.1540355297795573
30031252,681.852,26.777159698302608,16.387621735361193,11,2,SAN FRANCISCO,3,27.066666666666666,high,0.15708487882005248
30031588,3130.56,113.22430869849575,69.2932769234794,10,1,OAKLAND,2,27.650000000000002,high,0.1446697187704382
30032396,15.195,0.45630630630630636,0.27925945945945946,5,1,SAN FRANCISCO,1,33.3,mid_low,0.12012012012012013
