sampno,hh_vmt_fee_static,hh_total_vmt,hh_income_cat,hh_urbrur,hh_income_group
40212701,3.0964,154.82,8,1,mid_high
40213946,1.766304,73.596,10,1,high
40215176,12.148800000000001,607.44,10,1,high
40215394,1.922724,106.81800000000001,10,1,high
40215574,5.31312,221.38,9,1,mid_high
40216373,28.612096,1341.192,7,1,mid_low
40216658,3.3563520000000002,209.772,9,1,mid_high
40218037,1.280256,53.344,10,1,high
40219339,5.02432,269.16,11,1,high
40220548,0.31730400000000003,13.221,11,1,high
40221131,20.772864000000002,865.5360000000001,11,1,high
40221700,33.44154,1520.07,5,1,mid_low
40224148,9.343048,424.68399999999997,7,1,mid_low
40226830,14.354592,768.996,8,1,mid_high
40227976,4.536384,283.524,5,1,mid_low
40228109,2.269632,94.568,9,1,mid_high
40229994,7.483776,467.736,6,1,mid_low
40230150,7.433064000000001,309.711,5,1,mid_low
40230646,7.436,464.75,4,1,low
40232114,3.72912,155.38,8,1,mid_high
40233855,11.054352,487.692,8,2,mid_high
40235475,12.250224000000001,510.426,9,1,mid_high
40238602,2.919168,136.83599999999998,11,1,high
40240750,22.099392,920.8080000000001,11,1,high
40244854,1.130184,51.372,8,1,mid_high
40250324,4.74984,197.91,11,1,high
40253106,2.849376,118.724,11,1,high
40256241,4.0928640000000005,191.853,11,1,high
40256529,1.091808,45.492,8,1,mid_high
40260174,0.7729920000000001,35.136,10,1,high
40260722,123.774688,5460.648,11,1,high
40262673,27.441408000000003,1143.392,10,1,high
40263485,0.898656,40.848,8,1,mid_high
40266740,4.229328,176.22199999999998,5,1,mid_low
40268532,18.38496,919.248,7,1,mid_low
40268541,3.5859360000000002,224.121,11,1,high
40269279,3.02704,189.19,11,1,high
40270851,6.29436,262.265,10,1,high
40277608,12.614160000000002,630.708,11,2,high
40278130,4.604256,191.844,6,1,mid_low
40282151,1.475352,81.964,7,1,mid_low
40283246,7.17168,298.82,11,1,high
40284389,3.44916,156.78,11,1,high
40284455,38.57904,1607.46,10,1,high
40286139,29.31072,1221.28,7,1,mid_low
40286207,13.497984,562.416,5,1,mid_low
40290323,2.874048,119.75200000000001,8,1,mid_high
40292709,8.219952,474.228,11,1,high
40294418,4.12908,206.454,7,1,mid_low
40296697,44.80008,1866.67,5,1,mid_low
40298799,9.37344,468.672,10,2,high
40301289,89.54208,3730.92,11,1,high
40302657,5.0959200000000004,254.796,7,1,mid_low
40304041,8.938752000000001,372.448,10,1,high
40304458,6.41376,320.688,6,1,mid_low
40305938,93.5144,4675.72,10,1,high
40314407,1.68288,105.18,11,1,high
40317341,6.445056,268.544,7,1,mid_low
40317699,4.9720960000000005,310.756,11,1,high
40317725,0.41064,20.532,6,1,mid_low
40320920,231.443136,10848.896999999999,7,1,mid_low
40324595,26.24808,1093.67,11,1,high
40326459,7.207632,300.318,7,1,mid_low
40328602,1.097424,45.726,7,1,mid_low
40330460,4.225632,176.06799999999998,8,1,mid_high
40330936,11.090816,504.128,6,1,mid_low
40332713,111.75494400000001,4656.456,7,1,mid_low
40335094,0.309912,12.913,1,1,low
