sampno,hh_vmt_fee_dynamic,hh_total_vmt_dyn,hh_income_cat,hh_urbrur,hh_income_group
30001286,1.2329459339565414,77.05912087228383,11,1,high
30001757,0.7653648099160827,31.890200413170113,8,1,mid_high
30002316,0.5471153971940244,27.35576985970122,8,1,mid_high
30002949,18.578137706839907,870.8502050081206,8,1,mid_high
30003650,1.416145591917045,59.006066329876866,7,1,mid_low
30003703,3.791472958084484,157.97803992018683,10,1,high
30004504,18.20836203676387,1138.0226272977418,11,1,high
30004597,4.4747942670339755,223.73971335169878,10,1,high
30005074,2.7746176347523157,115.60906811467981,8,1,mid_high
30006271,13.08820724163108,727.1226245350599,8,1,mid_high
30006850,7.6506069899141895,318.77529124642456,10,1,high
30006987,0.7155005002462722,29.812520843594676,4,1,low
30007141,1.5530436581464975,97.06522863415609,11,1,high
30007800,5.262707933222891,219.27949721762045,10,1,high
30009516,146.32625075380835,6455.569886197427,10,1,high
30010796,11.860252312914476,494.17717970476974,6,1,mid_low
30011093,12.284551059086041,511.85629412858503,9,1,mid_high
30011538,6.694858144251793,278.952422677158,11,2,high
30011666,3.636556505611094,151.5231877337956,6,1,mid_low
30017625,1.2235447117276286,76.47154448297678,7,1,mid_low
30025699,1.0822736549280678,45.09473562200282,4,1,low
30026807,1.443448353918432,90.21552211990199,7,1,mid_low
30027544,9.301304602159094,387.5543584232956,11,1,high
30027938,31.707082536832246,1321.1284390346768,1,1,low
30029983,73.89163549119145,3958.480472742399,11,1,high
30031252,13.487781080212207,632.2397381349472,11,2,high
30031588,66.40411424126673,3018.3688291484877,10,1,high
30032396,0.2996918818218223,18.730742613863896,5,1,mid_low
30033642,0.6387605513997823,39.92253446248639,6,1,mid_low
30034649,2.815364473154737,117.30685304811404,8,1,mid_high
30035545,563.7180578490363,23488.252410376514,9,1,mid_high
30036272,23.136804976523045,964.0335406884601,5,1,mid_low
30037046,0.5360132949037317,33.500830931483236,4,1,low
30037447,11.93386816033206,542.4485527423664,2,1,low
30037492,36.9829437195466,1849.1471859773299,6,1,mid_low
30037730,5.487925735860799,342.99535849129995,7,1,mid_low
